"","sic","fye","Mkt.cap","sales.1","foreign.scr","fcf","ltm.sales.gr","ltm.ni.gr","sales.3yr.avg.growth","ebitda.gr","ni.growth","ni.5yr.gr","ebitda.int","debt.t..bv","cash.int","interest","ret.on.cap","cfo.debt","debt.ebitda","cfo.interest","ebitda.int.1","ebit.int","ebit.sales","debt.t.asts","cfo.capex","countryba"
"417",7384,1231,3116754944,1197955008,27.3567192074202,168.773,4.671787447,197.2835035,8.984396731,1.659488452,120.6420219,9.720087894,29.72193282,5.521415067,8.60482828,27.836,5.379438899,3.83382648369171,4.78916012305899,8.60482828,29.72193282,2.212961632,0.05175592,0.484030475608808,3.385450382,"US"
"49",4924,930,4525257728,2442378016,7.98907e-15,-285.909,3.854833244,63.25281638,-5.266827783,14.39003655,-10.25720709,1.847200494,7.499674356,1.39631554,3.115459433,74.026,7.973254497,3.83382648369171,4.78916012305899,3.115459433,7.499674356,4.606665226,0.144820794,0.484030475608808,0.446485614,"US"
"334",2834,1231,1.06541e+11,28445000704,64.68419131,4435,27.53889611,-68.33000665,11.44130344,20.32745056,159.6597071,17.94825755,6.171210469,-1.589644906,5.982814178,904,0.891971139,0.252938558,3.891351514,6.161504425,6.171210469,1.909292035,0.063015699,0.715972241,4.907488987,"US"
"70",4991,1231,2040615552,1.806e+09,27.3567192074202,-34,6.235294118,95.1605959046234,1.400798211,0,9.093246512,8.62625822250794,2.120805369,8.262626263,1.481707317,147,9.113495542,0.1048313,7.335474633,1.653061224,2.120805369,0.68707483,0.057648402,0.566473603,0.877256318,"US"
"445",2080,1231,1.37801e+11,64038000640,42.46989374,7025,1.670212428,-27.30792138,-1.56355742,5.9656052,6.909297697,3.088569024,11.46749777,-2.451760068,8.585910653,1151,9.611874509,0.242919358,3.194690574,8.682884448,11.46749777,9.13032146,0.165430933,0.803194432,3.366116538,"US"
"136",6022,1231,4804364800,2179821984,20.47611537,572.815,11.85899689,-52.78605038,2.37388867,76.4585494708538,-22.30881821,1.40732425,40.4259879663401,0.489299965,9.74727714769731,243.895746262712,7.659524842,3.83382648369171,4.78916012305899,10.7394728465265,40.4259879663401,8.63350903009396,0.13994111727027,0.484030475608808,10.13624256,"other"
"473",3620,1231,5690914304,897930992,82.98349404,1.909,25.757427,95.1605959046234,-14.32165706,76.4585494708538,41.4088898897957,8.62625822250794,4.032757052,1.018492731,1.186549006,30.823,3.061893972,0.024690633,14.53117642,1.186549006,4.032757052,1.151510236,0.064442391,1.611630943,1.055071544,"US"
"513",6798,1231,5426479104,568782992,0,194.847,8.503924991,47.95503443,14.08298346,11.91955601,68.02172091,8.62625822250794,5.425804722,-0.575205100760649,4.500858948,59.59,6.182553879,3.83382648369171,4.78916012305899,4.924282598,5.425804722,3.284359792,0.350151983,0.484030475608808,2.976316297,"US"
"87",7389,1231,38119059456,9929999872,57.23842375,2480,8.583925642,95.1605959046234,2.93341455,-2.194878617,-29.42689994,-12.361384,10.31929825,3.382697947,10.7739726,292,-11.62835639,0.337553648,3.168990139,10.7739726,10.31929825,7.756849315,0.236751333,0.440891244,4.723723724,"US"
"130",3312,1231,12018459648,9774456064,5.491499609,574.671,16.30685491,61.37698363,3.930727227,33.37694993,34.7263346,29.01744113,10.08915579,0.833723676,5.116680964,134.399,16.49514789,0.309691818,1.748469851,5.503061779,10.08915579,7.938161742,0.111846494,0.384453785,4.48422712,"US"
"184",3440,1231,1881422848,1642558976,56.58767366,78.578,11.7020054,95.1605959046234,-7.208870766,33.07116196,41.4088898897957,8.62625822250794,6.156568849,-2.544782935,3.719969717,47.552,2.908887374,3.83382648369171,4.78916012305899,3.719969717,6.156568849,3.003007234,0.088857182,0.484030475608808,1.799255447,"US"
"364",1311,1231,1224690560,769048000,0,-47.623,20.31734261,95.1605959046234,-17.89102436,298.7338157,41.4088898897957,8.62625822250794,8.640505732,0.613680115,9.74727714769731,243.895746262712,6.740034594,0.430135385,2.217060451,10.7394728465265,8.640505732,8.63350903009396,0.113439477,0.258075377,0.854457827,"US"
"516",4911,1231,3022854912,1432703008,0,24.001,3.656212559,-44.07562474,0.318269539,10.51136691,-27.17805393,-0.933073671,4.751180191,2.006841873,3.844155654,127.625,-1.140312232,3.83382648369171,4.78916012305899,4.109398629,4.751180191,2.401449559,0.212099906,0.484030475608808,1.047957783,"US"
